,Date,Keyword,Platform Name,Search Url,Chinese Reviews,English Reviews,Sentiment Using TextBlob Scores,Sentiment Using ML Model
0,"August 30, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 对一个体育爱好者来说一定要来这里参观一下在外面走走，你就能看到那条公认的“冠军之路”。博物馆在离电车站很远的地方 (但是当我们去参观的时候博物馆已经关门了)。周围还有漂亮的花园可以坐下来休息，这是一场非常值得的体育馆之行。感谢 michellemZ3054TX ,"For a sports enthusiast, you must come here to visit and walk outside, you will be able to see the recognized ""Road to Champions"". The museum is far away from the tram station (but the museum was closed when we visited). There are also beautiful gardens around you to sit and relax. This is a worthwhile trip to the gym. Thank michellemZ3054TX",Positive,Positive
1,"August 6, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 坐公共交通球场非常大，坐在顶层基本上都看不了多少，但感受气氛浓厚也是难忘的经验。不建议开车来，就算有位置停车也要堵塞很久，走路去市中也不那么远，公共交通较方便。感谢 drhkg ,"The public transportation stadium is very big, and you can hardly see much when sitting on the top floor, but feeling the atmosphere is also an unforgettable experience. It is not recommended to come by car. Even if there is a place to park, it will be blocked for a long time. It is not that far to walk to the city. Public transportation is more convenient. Thank drhkg",Neutral,Positive
2,"July 31, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 前酒保我在墨尔本板球场工作了6年。从来都不喜欢澳式橄榄球，觉得2006年英联邦运动会被所有的澳式橄榄球球队毁了。这比赛是国际性的，这给了游客一种观景的感觉，墨尔本是足球的天下。我不喜欢澳式橄榄球，但我还是花钱观看了6场总决赛。感谢 Aeydo88 ,"Former bartender I worked at the Melbourne Cricket Ground for 6 years. I have never liked Australian rugby. I feel that the 2006 Commonwealth Games will be ruined by all Australian rugby teams. This game is international, which gives visitors a feeling of viewing. Melbourne is the world of football. I don't like Australian football, but I still spent money to watch 6 finals. Thank Aeydo88",Neutral,Positive
3,"July 13, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 为澳式橄榄球比赛而前来体育场有室外停车场，收费只要10美元，这比地下停车场好得多。我们是在一个特殊的周末去的，现场不允许停车，除非你有残疾人证。离开体育场是一个更大的问题。警方不允许任何汽车离开，直到所有的球迷都离开了球场，而这个过程花了40分钟。感谢 warreng999 ,"There is an outdoor parking lot at the stadium for the Australian Rugby game, which costs only $10, which is much better than an underground parking lot. We went on a special weekend, and parking is not allowed on site unless you have a disabled certificate. Leaving the stadium is a bigger problem. The police did not allow any cars to leave until all the fans had left the stadium, and this process took 40 minutes. Thank warreng999",Neutral,Positive
4,"May 17, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 去看唐·布莱德曼爵士的球拍一定要去参观著名的墨尔本板球场，还有更衣室、留声板、著名的运动员照片。我们很幸运地看到了伟大的板球运动员唐·布拉德曼爵士的球拍。感谢 IftekharA-Sep2016 ,"To see Sir Don Bradman's racket, you must visit the famous Melbourne Cricket Ground, as well as locker rooms, phonographs, and photos of famous athletes. We were fortunate to see the racket of the great cricketer Sir Don Bradman. Thank IftekharA-Sep2016",Positive,Neutral
5,"April 26, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 澳新军团日作为一个西方游客，我一直很憧憬墨尔本板球场。接近100000人聚集在这里，但进场，买饮品和食物，去洗手间都很方便。我们坐在中间的位置，被双方支持者的气势折服。记得照顾好自己的小孩，保持礼貌，好好享受比赛。这里是澳大利亚迄今为止最好的运动场馆。所有人在最后奏歌的时候都自觉保持安静，这证明墨尔本的运动员们做到了最好。感谢 trevorg327 ,"As a Western tourist, I have always been looking forward to the Melbourne Cricket Ground. Nearly 100,000 people gather here, but it is easy to enter the venue, buy drinks and food, and go to the bathroom. We sat in the middle position, impressed by the momentum of the supporters on both sides. Remember to take care of your children, be polite, and enjoy the game. This is by far the best sports venue in Australia. Everyone consciously kept quiet when they played the last song, which proved that the Melbourne athletes did their best. Thank trevorg327",Positive,Negative
6,"April 21, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 一个墨尔本的图标！来墨尔本的任何人都必须要来这运动场一趟，你可以参观任何体育项目的运动场外部，但是最好还是尝试参加AFL足球比赛，或者一场板球比赛，去体验运动场的尺寸。感谢 peterhay2018 ,"An icon of Melbourne! Anyone who comes to Melbourne must come to this stadium. You can visit the exterior of any sports stadium, but it is best to try to participate in an AFL football game or a cricket match to experience the size of the stadium. Thank peterhay2018",Positive,Positive
7,"February 24, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 必须要去的地方如果你是一个板球爱好者，墨尔本板球场是必须要去的地方。简单的想想关于这一地标建筑的令人难以置信的事件和传说，将让你想好奇它是怎么像钟表一样工作的。尽你最大的努力去预定这次旅行，你一定不会失望的!1  感谢 ColNP ,"Must-visit places If you are a cricket enthusiast, the Melbourne Cricket Ground is a must-visit place. Simply thinking about the incredible events and legends about this landmark building will make you wonder how it works like a clock. Do your best to book this trip, you will not be disappointed! 1 Thank you ColNP",Positive,Positive
8,"February 17, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 澳大利亚的体育竞技场我还记得我在年少的时候来过“墨尔本板球场”，当时我和观众们一起看大决赛，只站在一个旧的看台上。当进球时，那气味，那声音，几乎是一种难以置信的体验，因为噪音和震动简直震耳欲聋。最近，我和儿子一起去参加旅行，探索了这个伟大竞技场的内部，我们并没有感到失望。迷人的故事和历史随处可见，与现代建筑和设施融为一体。我们这次旅程中最有趣的一点是比赛场地的尺寸。在电视上它看上去是巨大的。但在我个人看来，这个巨大和空荡荡的看台似乎比电视上小了一点。我们花了几个小时探索，倾听，感受。来这里是游客和当地人都必须做的事。感谢 gklemm ,"Australia’s sports arena I still remember that I visited the ""Melbourne Cricket Ground"" when I was young. At that time, I watched the Grand Final with the spectators, only standing in an old stand. When a goal is scored, the smell, the sound, is almost an incredible experience, because the noise and vibration are just deafening. Recently, my son and I went on a trip to explore the interior of this great arena and we were not disappointed. Fascinating stories and history can be seen everywhere, blending with modern buildings and facilities. The most interesting aspect of our journey is the size of the playing field. It looks huge on TV. But in my personal opinion, this huge and empty stand seems a bit smaller than on TV. We spent hours exploring, listening, and feeling. Coming here is a must for tourists and locals alike. Thank gklemm",Positive,Positive
9,"January 27, 2019",Melbourne Cricket Ground,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html#REVIEWS, 历史丰富墨尔本板球场值得一游……来到椭圆形运动场……一定要穿便鞋。这所国家体育博物馆很有意思……尤其是墨尔本板球场一处和其中的一位导游。  >  >  >感谢 kayf958 ,Rich history. The Melbourne Cricket Ground is worth a visit... Come to the Oval Stadium... You must wear casual shoes. This National Sports Museum is very interesting...especially the Melbourne Cricket Ground and one of the tour guides. >> >Thanks kayf958,Neutral,Positive
