,Date,Keyword,Platform Name,Search Url,Chinese Reviews,English Reviews,Sentiment Using TextBlob Scores,Sentiment Using ML Model
0,"March 23, 2020",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, 值得去的市场到澳大利亚墨尔本推荐到这个市场逛逛。早上8:00开门，但大多数都是刚刚摆摊，其实可以9:00来，这样所有商铺基本上可以摆好。这个市场内容是很丰富的，包括一些旅游景点的纪念品在这里基本上都可以买到，而且价格会比旅游景点便宜很多。这里还有服装，水果，书籍，纪念品非常丰富。旁边还有个专门的食品地方，像面包、奶酪，海鲜，油盐酱醋都有，还可以在这儿吃点，有饼，热狗，各式各样。  >  >  >  >体验日期：2020年1月感谢 artistfx ,"A market worth visiting. It is recommended to visit this market in Melbourne, Australia. The door opens at 8:00 in the morning, but most of them just set up their stalls. In fact, you can come at 9:00 so that all shops can basically be set up. The content of this market is very rich, including some tourist attractions souvenirs can basically be bought here, and the price will be much cheaper than tourist attractions. There are also plenty of clothes, fruits, books, and souvenirs. There is also a special food place next to it, such as bread, cheese, seafood, oil, salt, sauce and vinegar. You can also eat here, there are cakes, hot dogs, all kinds. >>> >Experience Date: January 2020 Thank you artistfx",Positive,Positive
1,"January 26, 2020",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, 道地的市集，美食聚集地来澳洲的第一站就是皇后维多利亚市场！品尝了许多部落客推荐的食物，例如热狗堡、koko巧克力、甜甜圈！个人喜欢甜甜圈，也是最多人排队的！  >  >  >感谢 kenkenken7777 ,"Authentic markets, food gathering place, the first stop in Australia is the Queen Victoria Market! Taste the food recommended by many bloggers, such as hot dog burger, koko chocolate, donuts! I personally like doughnuts, and the most people line up! >> >Thanks kenkenken7777",Positive,Positive
2,"January 18, 2020",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, 久久一次的夜市也很棒白天来过很多次，已经觉得逛的地方也很多，原来这里固定时间是有夜市，而且吃的东西选择更多，小吃主食都有，好像是12月才有的  >感谢 lin_n_little_cow ,"The long time night market is also great. I have visited many times during the day, and I already feel that there are many places to visit. It turns out that there is a night market at a fixed time, and there are more choices to eat. There are staple foods for snacks, which seem to be only available in December> Thank lin_n_little_cow",Positive,Positive
3,"January 5, 2020",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, A good market 在墨尔本的8天里面，基本上很少去其它地方玩，除了市场固定的休息时间外，每天中午我都会过来买一斤车厘子和其它水果，顺便尝试下其它的食物，我想这个是最快体验当地生活的方法了^^.市场规划得很好，很干净，商家们也都很客气，很喜欢。  >  >  >  >体验日期：2020年1月感谢 Explorer61891529653 ,"A good market During the 8 days in Melbourne, I rarely go to other places. Except for the fixed rest time in the market, I will come to buy a pound of cherries and other fruits at noon every day. I will try other foods by the way. I think this is the fastest way to experience local life^^. The market is well planned and clean, and the merchants are very polite and like it. >>> >Experience Date: January 2020 Thanks to Explorer61891529653",Neutral,Positive
4,"December 30, 2019",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, 大型传统菜市场探亲戚之旅，家人带我们去菜市场见识当地的文化，每个地方分门别类，很整齐，干湿货分开，见到不同类型的蔬菜，很特别  >  >  >  >感谢 Chioyan ,"A trip to visit relatives in a large traditional vegetable market. The family took us to the vegetable market to learn about the local culture. Each place is divided into categories, very neat, dry and wet goods are separated, and seeing different types of vegetables is very special.>>> >Thanks Chioyan",Neutral,Positive
5,"November 19, 2019",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, 很地道的市场以前读书时常常来，所以这次也来一次。这里除了一般市场的物品例如肉类，菜类，生果等等外，还有一些纪念品等东西买。如果将这里每一个店舖也慢慢看，是可以看足一个上午的感谢 Kin1979 ,"The very authentic market used to come here when I was studying, so I came here again this time. In addition to general market items such as meat, vegetables, fruits, etc., there are also some souvenirs and other things to buy. If you look at every shop here slowly, you can watch it all morning. Thanks Kin1979",Neutral,Neutral
6,"October 1, 2019",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, 很地道的感觉在这个市场，可以看到不同的小礼品，也可以看到不同的衣物，用具，以及食物。绝对可以让游客更了解当地文他，与及当地人喜好的地方。慢慢地游走着，感觉就是轻松，舒适。  >  >  >感谢 franktschan ,"Very authentic feeling. In this market, you can see different small gifts, as well as different clothes, utensils, and food. It can definitely let tourists know more about the local culture and the favorite places of the locals. Walking slowly, I feel relaxed and comfortable. >> >Thanks franktschan",Neutral,Positive
7,"September 7, 2019",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, 很多不同种类的商品交通非常方便，巿场的外观比我想像中更要有历史感，是拍照的好地方，一走进去，除了有售卖手信和纪念品的店家外，也有一些有趣的工艺品，可以消磨一个早上。感谢 Laisoki ,"Many different kinds of goods are very convenient for transportation. The appearance of the market is more historical than I thought. It is a good place to take pictures. When you walk in, besides the shops selling souvenirs and souvenirs, there are also some interesting crafts. Kill a morning. Thank Laisoki",Positive,Positive
8,"September 4, 2019",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS, 好逛的市集很大的市集，甚么东西都有卖，而且如果认真搜寻，会以很棒的价钱挖到很多好物品。每一区都规划的很棒，也位于交通方便的地方。1  感谢 PanJungLee ,"Good shopping market A big market, everything is sold, and if you search carefully, you will find many good items at great prices. Each district is well planned and located in a convenient place. 1 Thanks PanJungLee",Positive,Positive
9,"September 4, 2019",Queen Victoria Market,Trip Advisor China,https://www.tripadvisor.cn/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html#REVIEWS," 一个包罗万有的市场在墨尔本期间, 我连续两天去了维多利亚女皇市场. 这里地方真的很大, 简单可分四大部份: 熟食区, 生食区, 蔬果市场和纪念品市场. 熟食区是有些小店可点食物, 即场有位置坐下来吃, 个人觉得早餐或午餐是很合适的. 生食区和蔬果市场是供给客人买回去煮食之用, 那些肉类和海鲜是非常便宜. 据当地人说, 这类的价钱比其他地方便宜. 纪念品市场有不少手工制作的东西卖, 例如: 肥皂, 护肤产品, 小手饰...  >  >  >  >感谢 Coastal802885 ","An all-inclusive market in Melbourne, I went to the Queen Victoria Market for two consecutive days. The place is really big, it can be divided into four parts: the deli area, the raw food area, the fruit and vegetable market and the souvenir market. The deli area is Some small shops can order food, and there is a place to sit down and eat on the spot. Personally, I think breakfast or lunch is very suitable. The raw food area and fruit and vegetable market are for customers to buy back for cooking. Those meat and seafood are very cheap. According to Locals say that this type of price is cheaper than other places. There are many handmade items on the souvenir market, such as: soap, skin care products, small jewelry...>>> >Thanks to Coastal802885",Neutral,Positive
